category,size,sample,compile_time_sec,max_rss_kb,exit_code
clustered,10,0,0.84,145076,0
clustered,10,1,0.87,147140,0
clustered,10,2,0.84,145068,0
clustered,10,3,0.84,144888,0
clustered,10,4,0.87,147168,0
clustered,10,5,0.87,145064,0
clustered,10,6,0.85,145016,0
clustered,10,7,0.88,147048,0
clustered,10,8,1.19,147188,0
clustered,10,9,1.60,147172,0
clustered,12,0,1.97,252360,0
clustered,12,1,1.77,248104,0
clustered,12,2,1.75,248104,0
clustered,12,3,1.87,252292,0
clustered,12,4,1.74,252324,0
clustered,12,5,1.74,248032,0
clustered,12,6,1.76,245936,0
clustered,12,7,1.74,252288,0
clustered,12,8,1.88,252288,0
clustered,12,9,1.89,256472,0
clustered,14,0,0,0,1
clustered,14,1,0,0,1
clustered,14,2,0,0,1
clustered,14,3,0,0,1
clustered,14,4,0,0,1
clustered,14,5,0,0,1
clustered,14,6,0,0,1
clustered,14,7,0,0,1
clustered,14,8,0,0,1
clustered,14,9,0,0,1
clustered,16,0,0,0,1
clustered,16,1,0,0,1
clustered,16,2,0,0,1
clustered,16,3,0,0,1
clustered,16,4,0,0,1
clustered,16,5,0,0,1
clustered,16,6,0,0,1
clustered,16,7,0,0,1
clustered,16,8,0,0,1
clustered,16,9,0,0,1
clustered,2,0,0.03,39912,0
clustered,2,1,0.03,39824,0
clustered,2,2,0.03,39932,0
clustered,2,3,0.03,39884,0
clustered,2,4,0.03,39932,0
clustered,2,5,0.03,39896,0
clustered,2,6,0.03,39904,0
clustered,2,7,0.03,39936,0
clustered,2,8,0.03,39832,0
clustered,2,9,0.03,39844,0
clustered,4,0,0.06,44092,0
clustered,4,1,0.06,46104,0
clustered,4,2,0.06,44052,0
clustered,4,3,0.06,44176,0
clustered,4,4,0.06,44072,0
clustered,4,5,0.06,44188,0
clustered,4,6,0.06,44144,0
clustered,4,7,0.06,46248,0
clustered,4,8,0.06,44068,0
clustered,4,9,0.06,44136,0
clustered,6,0,0.16,58784,0
clustered,6,1,0.15,56728,0
clustered,6,2,0.14,56764,0
clustered,6,3,0.15,56788,0
clustered,6,4,0.15,56788,0
clustered,6,5,0.15,56684,0
clustered,6,6,0.15,56756,0
clustered,6,7,0.15,56676,0
clustered,6,8,0.15,56788,0
clustered,6,9,0.15,56744,0
clustered,8,0,0.38,88244,0
clustered,8,1,0.36,84100,0
clustered,8,2,0.39,88340,0
clustered,8,3,0.40,90424,0
clustered,8,4,0.39,88328,0
clustered,8,5,0.40,90412,0
clustered,8,6,0.37,86208,0
clustered,8,7,0.40,88256,0
clustered,8,8,0.39,86152,0
clustered,8,9,0.35,84120,0
companion,10,0,0.46,96944,0
companion,10,1,0.46,96760,0
companion,10,2,0.46,97008,0
companion,10,3,0.44,96804,0
companion,10,4,0.47,96948,0
companion,10,5,0.47,99132,0
companion,10,6,0.48,96812,0
companion,10,7,0.53,96720,0
companion,10,8,0.47,96852,0
companion,10,9,0.50,96864,0
companion,12,0,0.91,153676,0
companion,12,1,0.99,155936,0
companion,12,2,0.99,155796,0
companion,12,3,1.01,153652,0
companion,12,4,0.96,151596,0
companion,12,5,1.01,153708,0
companion,12,6,1.00,153820,0
companion,12,7,0.97,151528,0
companion,12,8,0.99,151540,0
companion,12,9,0.99,151628,0
companion,14,0,1.79,248368,0
companion,14,1,1.63,244140,0
companion,14,2,1.56,244220,0
companion,14,3,1.59,244176,0
companion,14,4,1.68,250508,0
companion,14,5,1.59,244240,0
companion,14,6,1.57,244196,0
companion,14,7,1.61,244140,0
companion,14,8,1.63,244176,0
companion,14,9,1.57,244228,0
companion,16,0,0,0,1
companion,16,1,0,0,1
companion,16,2,0,0,1
companion,16,3,0,0,1
companion,16,4,0,0,1
companion,16,5,0,0,1
companion,16,6,0,0,1
companion,16,7,0,0,1
companion,16,8,0,0,1
companion,16,9,0,0,1
companion,2,0,0.03,39720,0
companion,2,1,0.03,39752,0
companion,2,2,0.03,39700,0
companion,2,3,0.03,39708,0
companion,2,4,0.03,39768,0
companion,2,5,0.03,39784,0
companion,2,6,0.03,39788,0
companion,2,7,0.04,39760,0
companion,2,8,0.03,39748,0
companion,2,9,0.03,39752,0
companion,4,0,0.06,44232,0
companion,4,1,0.05,44416,0
companion,4,2,0.05,44420,0
companion,4,3,0.05,44308,0
companion,4,4,0.05,44388,0
companion,4,5,0.05,44236,0
companion,4,6,0.05,44248,0
companion,4,7,0.05,44148,0
companion,4,8,0.06,44344,0
companion,4,9,0.05,44320,0
companion,6,0,0.10,50632,0
companion,6,1,0.11,50840,0
companion,6,2,0.11,50672,0
companion,6,3,0.10,50608,0
companion,6,4,0.10,50552,0
companion,6,5,0.10,50608,0
companion,6,6,0.10,50608,0
companion,6,7,0.10,50804,0
companion,6,8,0.10,50576,0
companion,6,9,0.10,50632,0
companion,8,0,0.21,65376,0
companion,8,1,0.22,65360,0
companion,8,2,0.21,65300,0
companion,8,3,0.23,67516,0
companion,8,4,0.22,67564,0
companion,8,5,0.22,65424,0
companion,8,6,0.22,65444,0
companion,8,7,0.21,65408,0
companion,8,8,0.22,65316,0
companion,8,9,0.22,65380,0
defective,10,0,0.54,107508,0
defective,10,1,0.49,101108,0
defective,10,2,0.51,103348,0
defective,10,3,0.51,103336,0
defective,10,4,0.50,101080,0
defective,10,5,0.60,113792,0
defective,10,6,0.54,107464,0
defective,10,7,0.58,111496,0
defective,10,8,0.52,105232,0
defective,10,9,0.52,105336,0
defective,12,0,0.98,160108,0
defective,12,1,0.91,153756,0
defective,12,2,1.01,166396,0
defective,12,3,0.99,162224,0
defective,12,4,1.02,168484,0
defective,12,5,0.93,157896,0
defective,12,6,0.97,160060,0
defective,12,7,1.07,170628,0
defective,12,8,1.13,178980,0
defective,12,9,0.93,153740,0
defective,14,0,1.66,250528,0
defective,14,1,1.67,254684,0
defective,14,2,1.77,267432,0
defective,14,3,1.62,248364,0
defective,14,4,1.64,244232,0
defective,14,5,1.74,261004,0
defective,14,6,1.85,271532,0
defective,14,7,1.80,271484,0
defective,14,8,1.63,250520,0
