# family: gcc
# compiler: c++ (Alpine 15.2.0) 15.2.0
# os: Alpine Linux
category,size,sample,compile_time_sec,max_rss_kb,exit_code
companion,2,4,0.04,35880,0
companion,2,5,0.05,35852,0
companion,2,6,0.04,35780,0
companion,2,7,0.04,35924,0
companion,2,8,0.04,35920,0
companion,2,9,0.04,35892,0
companion,4,0,0.07,38352,0
companion,4,1,0.07,38564,0
companion,4,2,0.06,38388,0
companion,4,3,0.06,37968,0
companion,4,4,0.06,38056,0
companion,4,5,0.06,38184,0
companion,4,6,0.06,37840,0
companion,4,7,0.06,37852,0
companion,4,8,0.06,38224,0
companion,4,9,0.06,38064,0
companion,6,0,0.09,42368,0
companion,6,1,0.10,42700,0
companion,6,2,0.10,42548,0
companion,6,3,0.10,42188,0
companion,6,4,0.10,42532,0
companion,6,5,0.09,41528,0
companion,6,6,0.09,42280,0
companion,6,7,0.09,42548,0
companion,6,8,0.09,41872,0
companion,6,9,0.09,41944,0
companion,8,0,0.16,50760,0
companion,8,1,0.22,51012,0
companion,8,2,0.19,50896,0
companion,8,3,0.18,51668,0
companion,8,4,0.17,51412,0
companion,8,5,0.17,51144,0
companion,8,6,0.17,51060,0
companion,8,7,0.16,50588,0
companion,8,8,0.16,50716,0
companion,8,9,0.16,50852,0
defective,10,0,0.36,74832,0
defective,10,1,0.33,70700,0
defective,10,2,0.36,72080,0
defective,10,3,0.34,72240,0
defective,10,4,0.34,71080,0
defective,10,5,0.40,79200,0
defective,10,6,0.36,74324,0
defective,10,7,0.38,76612,0
defective,10,8,0.36,73040,0
defective,10,9,0.35,73040,0
defective,12,0,0.60,102852,0
defective,12,1,0.56,98844,0
defective,12,2,0.65,107172,0
defective,12,3,0.61,104624,0
defective,12,4,0.64,107860,0
defective,12,5,0.60,101272,0
defective,12,6,0.62,102684,0
defective,12,7,0.69,108880,0
defective,12,8,0.75,114728,0
defective,12,9,0.59,99932,0
defective,14,0,1.05,151836,0
defective,14,1,1.05,154156,0
defective,14,2,1.14,162252,0
defective,14,3,1.04,150540,0
defective,14,4,0.99,147980,0
defective,14,5,1.08,158372,0
defective,14,6,1.14,165196,0
defective,14,7,1.14,164368,0
defective,14,8,1.00,152244,0
defective,14,9,1.05,155952,0
defective,16,0,1.71,234328,0
defective,16,1,1.67,232648,0
defective,16,2,1.72,235076,0
defective,16,3,1.72,238036,0
defective,16,4,1.66,229288,0
defective,16,5,1.67,227684,0
defective,16,6,1.64,227896,0
defective,16,7,1.65,226912,0
defective,16,8,1.68,231308,0
defective,16,9,1.69,232972,0
defective,18,0,2.53,331148,0
defective,18,1,2.72,351440,0
defective,18,2,2.54,333776,0
defective,18,3,2.70,347292,0
defective,18,4,2.63,342476,0
defective,18,5,2.57,337688,0
defective,18,6,2.76,357276,0
defective,18,7,2.57,331204,0
defective,18,8,2.75,352184,0
defective,18,9,2.60,339668,0
defective,20,0,4.01,504496,0
defective,20,1,3.95,495184,0
defective,20,2,4.18,528064,0
defective,20,3,3.81,483764,0
defective,20,4,4.07,514892,0
defective,20,5,3.81,483188,0
defective,20,6,3.79,483928,0
defective,20,7,3.97,498116,0
defective,20,8,4.10,510912,0
defective,20,9,3.83,489304,0
defective,2,0,0.04,35880,0
defective,2,1,0.04,35968,0
defective,2,2,0.05,35968,0
defective,2,3,0.05,35964,0
defective,2,4,0.05,35976,0
defective,2,5,0.04,35880,0
defective,2,6,0.04,35780,0
defective,2,7,0.05,35944,0
defective,2,8,0.04,35756,0
defective,2,9,0.05,36040,0
defective,4,0,0.08,39896,0
defective,4,1,0.09,41640,0
defective,4,2,0.08,40144,0
defective,4,3,0.08,39940,0
defective,4,4,0.08,40280,0
defective,4,5,0.07,39920,0
defective,4,6,0.10,42448,0
defective,4,7,0.07,39728,0
defective,4,8,0.08,40164,0
defective,4,9,0.08,40016,0
defective,6,0,0.13,45712,0
defective,6,1,0.15,47584,0
defective,6,2,0.11,43688,0
defective,6,3,0.13,45788,0
defective,6,4,0.11,44136,0
defective,6,5,0.11,44116,0
defective,6,6,0.11,44100,0
defective,6,7,0.14,47952,0
defective,6,8,0.14,47312,0
defective,6,9,0.11,43720,0
defective,8,0,0.19,52928,0
defective,8,1,0.20,55400,0
defective,8,2,0.21,56680,0
defective,8,3,0.23,57420,0
defective,8,4,0.23,58892,0
defective,8,5,0.18,52200,0
defective,8,6,0.21,55464,0
defective,8,7,0.19,53444,0
defective,8,8,0.23,58384,0
