category,size,sample,compile_time_sec,max_rss_kb,exit_code
defective,12,3,0.97,162220,0
defective,12,4,1.01,168496,0
defective,12,5,0.92,157992,0
defective,12,6,0.94,160000,0
defective,12,7,1.02,170616,0
defective,12,8,1.11,178980,0
defective,12,9,0.92,153748,0
defective,14,0,1.66,250556,0
defective,14,1,1.69,254708,0
defective,14,2,1.79,267420,0
defective,14,3,1.61,248400,0
defective,14,4,1.58,244184,0
defective,14,5,1.73,261000,0
defective,14,6,1.80,271564,0
defective,14,7,1.87,271444,0
defective,14,8,1.62,250464,0
defective,14,9,1.68,256884,0
defective,16,0,0,0,1
defective,16,1,0,0,1
defective,16,2,0,0,1
defective,16,3,0,0,1
defective,16,4,0,0,1
defective,16,5,0,0,1
defective,16,6,0,0,1
defective,16,7,0,0,1
defective,16,8,0,0,1
defective,16,9,0,0,1
defective,2,0,0.03,39704,0
defective,2,1,0.03,39816,0
defective,2,2,0.03,39908,0
defective,2,3,0.03,39912,0
defective,2,4,0.03,39884,0
defective,2,5,0.03,39792,0
defective,2,6,0.03,39776,0
defective,2,7,0.03,39924,0
defective,2,8,0.03,39780,0
defective,2,9,0.03,39916,0
defective,4,0,0.07,46388,0
defective,4,1,0.09,48524,0
defective,4,2,0.07,46332,0
defective,4,3,0.07,46396,0
defective,4,4,0.07,46396,0
defective,4,5,0.07,46324,0
defective,4,6,0.10,50680,0
defective,4,7,0.07,46332,0
defective,4,8,0.08,46404,0
defective,4,9,0.07,46428,0
defective,6,0,0.14,54848,0
defective,6,1,0.17,59140,0
defective,6,2,0.11,52816,0
defective,6,3,0.15,56952,0
defective,6,4,0.12,52832,0
defective,6,5,0.12,52832,0
defective,6,6,0.12,52752,0
defective,6,7,0.17,58936,0
defective,6,8,0.16,59004,0
defective,6,9,0.12,52656,0
defective,8,0,0.25,69468,0
defective,8,1,0.28,73860,0
defective,8,2,0.29,75824,0
defective,8,3,0.31,75808,0
defective,8,4,0.32,77976,0
defective,8,5,0.23,67352,0
defective,8,6,0.27,73776,0
defective,8,7,0.25,69520,0
defective,8,8,0.32,77932,0
defective,8,9,0.23,67412,0
graded,10,0,0.45,94692,0
graded,10,1,0.44,94752,0
graded,10,2,0.43,94856,0
graded,10,3,0.45,94736,0
graded,10,4,0.46,94704,0
graded,10,5,0.46,96844,0
graded,10,6,0.45,96744,0
graded,10,7,0.44,94716,0
graded,10,8,0.44,94764,0
graded,10,9,0.45,94680,0
graded,12,0,0.89,151484,0
graded,12,1,0.87,149468,0
graded,12,2,0.92,151556,0
graded,12,3,0.88,149444,0
graded,12,4,0.92,153704,0
graded,12,5,0.90,151628,0
graded,12,6,0.87,151640,0
graded,12,7,0.90,151552,0
graded,12,8,0.89,151512,0
graded,12,9,0.87,149456,0
graded,14,0,1.65,246272,0
graded,14,1,1.55,241952,0
graded,14,2,1.54,239856,0
graded,14,3,1.60,242000,0
graded,14,4,1.58,241812,0
graded,14,5,1.55,239820,0
graded,14,6,1.56,242000,0
graded,14,7,1.55,240008,0
graded,14,8,1.57,244156,0
graded,14,9,1.55,242060,0
graded,16,0,0,0,1
graded,16,1,0,0,1
graded,16,2,0,0,1
graded,16,3,0,0,1
graded,16,4,0,0,1
graded,16,5,0,0,1
graded,16,6,0,0,1
graded,16,7,0,0,1
graded,16,8,0,0,1
graded,16,9,0,0,1
graded,2,0,0.03,39764,0
graded,2,1,0.03,39704,0
graded,2,2,0.03,39796,0
graded,2,3,0.03,39748,0
graded,2,4,0.03,39760,0
graded,2,5,0.03,39736,0
graded,2,6,0.03,39808,0
graded,2,7,0.03,39752,0
graded,2,8,0.04,39752,0
graded,2,9,0.03,39808,0
graded,4,0,0.05,44328,0
graded,4,1,0.05,44228,0
graded,4,2,0.05,44356,0
graded,4,3,0.04,42056,0
graded,4,4,0.05,44368,0
graded,4,5,0.05,44220,0
graded,4,6,0.05,44324,0
graded,4,7,0.05,44412,0
graded,4,8,0.05,44288,0
graded,4,9,0.05,44148,0
graded,6,0,0.10,50724,0
graded,6,1,0.10,50576,0
graded,6,2,0.10,50664,0
graded,6,3,0.10,50616,0
graded,6,4,0.10,50688,0
graded,6,5,0.10,50580,0
graded,6,6,0.09,50700,0
graded,6,7,0.09,50640,0
graded,6,8,0.09,50660,0
graded,6,9,0.10,50604,0
graded,8,0,0.21,65336,0
graded,8,1,0.21,65272,0
graded,8,2,0.22,65340,0
graded,8,3,0.22,65284,0
graded,8,4,0.22,65336,0
graded,8,5,0.23,65304,0
graded,8,6,0.22,65304,0
graded,8,7,0.21,65352,0
graded,8,8,0.22,65392,0
graded,8,9,0.21,65292,0
hamiltonian,10,0,0.47,96764,0
hamiltonian,10,1,0.47,99032,0
hamiltonian,10,2,0.46,96944,0
hamiltonian,10,3,0.46,96900,0
hamiltonian,10,4,0.46,96908,0
hamiltonian,10,5,0.46,96884,0
hamiltonian,10,6,0.45,96984,0
hamiltonian,10,7,0.49,99020,0
hamiltonian,10,8,0.49,101252,0
hamiltonian,10,9,0.46,96748,0
hamiltonian,12,0,0.92,153748,0
hamiltonian,12,1,1.05,153792,0
hamiltonian,12,2,0.90,153824,0
hamiltonian,12,3,0.91,151600,0
hamiltonian,12,4,0.88,151620,0
hamiltonian,12,5,0.93,155916,0
hamiltonian,12,6,0.92,153704,0
hamiltonian,12,7,1.00,160120,0
hamiltonian,12,8,0.93,153796,0
hamiltonian,12,9,0.93,153716,0
hamiltonian,14,0,1.71,254716,0
hamiltonian,14,1,1.62,248416,0
hamiltonian,14,2,1.57,244156,0
hamiltonian,14,3,1.60,244272,0
hamiltonian,14,4,1.60,246308,0
hamiltonian,14,5,1.58,242080,0
hamiltonian,14,6,1.58,244188,0
hamiltonian,14,7,1.61,244232,0
hamiltonian,14,8,1.64,248460,0
hamiltonian,14,9,1.67,254764,0
hamiltonian,16,0,0,0,1
hamiltonian,16,1,0,0,1
hamiltonian,16,2,0,0,1
hamiltonian,16,3,0,0,1
hamiltonian,16,4,0,0,1
hamiltonian,16,5,0,0,1
hamiltonian,16,6,0,0,1
hamiltonian,16,7,0,0,1
hamiltonian,16,8,0,0,1
hamiltonian,16,9,0,0,1
hamiltonian,2,0,0.03,39712,0
hamiltonian,2,1,0.03,39792,0
hamiltonian,2,2,0.03,39752,0
hamiltonian,2,3,0.03,39704,0
hamiltonian,2,4,0.03,39780,0
hamiltonian,2,5,0.03,39784,0
hamiltonian,2,6,0.03,39716,0
hamiltonian,2,7,0.03,39788,0
hamiltonian,2,8,0.03,39676,0
hamiltonian,2,9,0.03,39776,0
hamiltonian,4,0,0.05,44392,0
hamiltonian,4,1,0.07,46276,0
hamiltonian,4,2,0.05,44156,0
hamiltonian,4,3,0.05,44128,0
hamiltonian,4,4,0.05,44416,0
hamiltonian,4,5,0.05,44292,0
hamiltonian,4,6,0.05,44292,0
hamiltonian,4,7,0.05,44280,0
hamiltonian,4,8,0.05,44284,0
hamiltonian,4,9,0.05,44296,0
hamiltonian,6,0,0.10,50612,0
hamiltonian,6,1,0.10,50572,0
